user_id,age,gender,attention,block_number,trial_number,trial_type,conditions,p_inspection,inspection,fine_size,profitable_side,true_side,choice,trial_payoff,alternative_payoff,choice_correct,rt_choice,block_errors,final_errors,block_payoff,final_payoff,error,b1_cheating,b2_cheating,b1_sum,b2_sum
5b7de8361e7bc100011dc574,56,female,1,1,93,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.064,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,94,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.068,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,95,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.056,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,2,1,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.06,9,15,144,283,0,0,0,0,6
5b7de8361e7bc100011dc574,56,female,1,2,6,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.14300000000000002,9,15,144,283,0,0,0,0,6
5b7de8361e7bc100011dc574,56,female,1,2,8,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.06,9,15,144,283,0,0,0,0,6
5b7de8361e7bc100011dc574,56,female,1,2,17,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.049,9,15,144,283,0,0,0,0,6
5b7de8361e7bc100011dc574,56,female,1,2,22,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.05,9,15,144,283,0,0,0,0,6
5b7de8361e7bc100011dc574,56,female,1,2,23,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.05,9,15,144,283,0,0,0,0,6
5b7de8361e7bc100011dc574,56,female,1,2,31,Ambigous_left,3,0,0,0,right,left,right,2,1,0,0.07400000000000001,9,15,144,283,1,0,1,0,6
5b7de8361e7bc100011dc574,56,female,1,2,36,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.051,9,15,144,283,0,0,0,0,6
5b7de8361e7bc100011dc574,56,female,1,2,37,Ambigous_left,3,0,0,0,right,left,right,2,1,0,0.07400000000000001,9,15,144,283,1,0,1,0,6
5b7de8361e7bc100011dc574,56,female,1,2,49,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.048,9,15,144,283,0,0,0,0,6
5b7de8361e7bc100011dc574,56,female,1,2,50,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.056,9,15,144,283,0,0,0,0,6
5b7de8361e7bc100011dc574,56,female,1,2,51,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.07200000000000001,9,15,144,283,0,0,0,0,6
5b7de8361e7bc100011dc574,56,female,1,2,53,Ambigous_left,3,0,0,0,right,left,right,2,1,0,0.145,9,15,144,283,1,0,1,0,6
5b7de8361e7bc100011dc574,56,female,1,2,55,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.056,9,15,144,283,0,0,0,0,6
5b7de8361e7bc100011dc574,56,female,1,2,56,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.052000000000000005,9,15,144,283,0,0,0,0,6
5b7de8361e7bc100011dc574,56,female,1,2,57,Ambigous_left,3,0,0,0,right,left,right,2,1,0,0.073,9,15,144,283,1,0,1,0,6
5b7de8361e7bc100011dc574,56,female,1,2,62,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.058,9,15,144,283,0,0,0,0,6
5b7de8361e7bc100011dc574,56,female,1,2,66,Ambigous_left,3,0,0,0,right,left,right,2,1,0,0.063,9,15,144,283,1,0,1,0,6
5b7de8361e7bc100011dc574,56,female,1,2,70,Ambigous_left,3,0,0,0,right,left,right,2,1,0,0.057,9,15,144,283,1,0,1,0,6
5b7de8361e7bc100011dc574,56,female,1,2,75,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.049,9,15,144,283,0,0,0,0,6
5b7de8361e7bc100011dc574,56,female,1,2,81,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.058,9,15,144,283,0,0,0,0,6
5b7de8361e7bc100011dc574,56,female,1,2,82,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.052000000000000005,9,15,144,283,0,0,0,0,6
5b7de8361e7bc100011dc574,56,female,1,2,83,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.049,9,15,144,283,0,0,0,0,6
5b7de8361e7bc100011dc574,56,female,1,2,98,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.059,9,15,144,283,0,0,0,0,6
5b7de8361e7bc100011dc574,56,female,1,2,99,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.044,9,15,144,283,0,0,0,0,6
5d94aee42efd5f0017023e9e,18,female,1,1,4,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.184,7,12,138,278,0,0,0,2,0
5d94aee42efd5f0017023e9e,18,female,1,1,6,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.258,7,12,138,278,0,0,0,2,0
5d94aee42efd5f0017023e9e,18,female,1,1,10,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.284,7,12,138,278,1,1,0,2,0
5d94aee42efd5f0017023e9e,18,female,1,1,11,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.248,7,12,138,278,0,0,0,2,0
5d94aee42efd5f0017023e9e,18,female,1,1,17,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.235,7,12,138,278,0,0,0,2,0
5d94aee42efd5f0017023e9e,18,female,1,1,20,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.172,7,12,138,278,0,0,0,2,0
5d94aee42efd5f0017023e9e,18,female,1,1,23,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.35100000000000003,7,12,138,278,0,0,0,2,0
5d94aee42efd5f0017023e9e,18,female,1,1,28,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.156,7,12,138,278,0,0,0,2,0
5d94aee42efd5f0017023e9e,18,female,1,1,29,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.381,7,12,138,278,0,0,0,2,0
5d94aee42efd5f0017023e9e,18,female,1,1,31,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.171,7,12,138,278,0,0,0,2,0
5d94aee42efd5f0017023e9e,18,female,1,1,40,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.179,7,12,138,278,0,0,0,2,0
5d94aee42efd5f0017023e9e,18,female,1,1,47,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.14,7,12,138,278,0,0,0,2,0
5d94aee42efd5f0017023e9e,18,female,1,1,54,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.287,7,12,138,278,0,0,0,2,0
5d94aee42efd5f0017023e9e,18,female,1,1,56,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.171,7,12,138,278,0,0,0,2,0
5d94aee42efd5f0017023e9e,18,female,1,1,61,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.177,7,12,138,278,0,0,0,2,0
5d94aee42efd5f0017023e9e,18,female,1,1,70,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.146,7,12,138,278,0,0,0,2,0
5d94aee42efd5f0017023e9e,18,female,1,1,73,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.379,7,12,138,278,0,0,0,2,0
5d94aee42efd5f0017023e9e,18,female,1,1,74,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.168,7,12,138,278,0,0,0,2,0
